cage,number in cage,diet,date (start to end),food initial (g),food final (g),intake (total g),intake (total kcal),intake (kcal per day),intake (kcal per hour),discard,notes
7886,,,9/9/19-9/10/19,213.1,199.6,,,,,,
7883,,,9/9/19-9/10/19,270.4,265.6,,,,,,
7882,,,9/9/19-9/10/19,268.9,262.1,,,,,,
7889,2,,9/9/19-9/11/19,216.2,209.8,,,,,,
7889,2,,9/11/19-9/13/19,219.4,213,,,,,,
7890,1,,9/11/19-9/13/19,218.1,208.7,,,,,,
7906,,,9/11/19-9/13/19,271.6,260.9,,,,,,
7895,2,,9/11/19-9/13/19,268.5,262.4,,,,,,
7907,,,9/11/19-9/13/19,268.9,260.7,,,,,,
7889,2,,9/13/19-9/17/19,217.5,205.2,,,,,,
7890,1,,9/13/19-9/17/19,214.9,195.7,,,,,,
7906,,,9/13/19-9/17/19,280,252.6,seems wrong?,,,,,
7895,2,,9/13/19-9/17/19,269.6,257.6,,,,,,
7907,,,9/13/19-9/17/19,268,188.7,seems wrong?,,,,,
