"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSMUSG00000027777",38.6294237145426,0.49126910965941,0.262242759412821,1.87333717338619,0.0610218397088415,0.429873940654914,"Schip1"
"ENSMUSG00000027778",49.4043779723711,-0.131075645485187,0.209939676014331,-0.624349089098528,0.532398352080795,0.867716339914769,"Ift80"
"ENSMUSG00000027782",393.499396130789,0.221177010518337,0.092085420638565,2.40186784166905,0.0163116002579403,0.265174675852988,"Kpna4"
"ENSMUSG00000027784",26.5201697730178,0.412005140242287,0.319435276942058,1.28979223643173,0.197122804211263,0.652474142359051,"Ppm1l"
"ENSMUSG00000027787",267.406158899242,0.139708920104605,0.105863184221569,1.31971205222957,0.186931174556525,0.642000309994882,"Nmd3"
"ENSMUSG00000027788",0,NA,NA,NA,NA,NA,"Otol1"
"ENSMUSG00000027790",0,NA,NA,NA,NA,NA,"Sis"
"ENSMUSG00000027792",13.7950756038746,0.638333554153175,0.496403072394874,1.28591781487887,0.198471745630146,0.653707959951068,"Bche"
"ENSMUSG00000027793",0.253219104094435,0.126361350993632,3.14975185020746,0.0401178749955521,0.96799915108747,NA,"Ccna1"
"ENSMUSG00000027794",0.246305656805423,-0.857796657220622,3.04295839482405,-0.281895624560527,0.77802354463826,NA,"Sohlh2"
"ENSMUSG00000027796",0.298162374900357,0.207383707835902,2.90345014992588,0.0714266466194352,0.943058202829839,NA,"Smad9"
"ENSMUSG00000027797",11.0754731343548,-0.658745057966508,0.754403066140961,-0.873200398476934,0.382553857694037,0.796177455642668,"Dclk1"
"ENSMUSG00000027799",1499.0535391622,0.247934273426963,0.139366438604659,1.77900989584931,0.0752381395807214,0.468536596608719,"Nbea"
"ENSMUSG00000027800",200.718729448787,-0.0153783181271055,0.130810694187735,-0.1175616276834,0.906415010714044,0.984639202235196,"Tm4sf1"
"ENSMUSG00000027801",0,NA,NA,NA,NA,NA,"Tm4sf4"
"ENSMUSG00000027803",200.321242574377,0.190899032726739,0.214237598678337,0.891062231393664,0.37289578545724,0.790384144641254,"Wwtr1"
"ENSMUSG00000027804",256.161982963518,-0.0715826230572119,0.131453907859672,-0.544545416889598,0.586066204004132,0.892508250256442,"Ppid"
"ENSMUSG00000027805",16.9247679794489,1.0989781983123,0.491888087097954,2.23420372873038,0.0254696712152154,0.30750021775238,"Pfn2"
"ENSMUSG00000027806",209.936045634412,0.0459095637959291,0.136452724067643,0.33645032819697,0.736531302757546,0.944323911652222,"Tsc22d2"
"ENSMUSG00000027808",1320.93222223184,-0.163278726559003,0.145940497824894,-1.11880340955745,0.263224016813553,0.714851866235775,"Serp1"
"ENSMUSG00000027809",954.758314538303,0.0549457425242958,0.099825010768661,0.55042060202357,0.582030921191706,0.891061097533031,"Etfdh"
"ENSMUSG00000027810",835.934596370778,0.0153198669879142,0.0773053045725137,0.198173554488022,0.842909277602081,0.969239767533689,"Eif2a"
"ENSMUSG00000027811",1.76327189365751,-0.258836465063739,0.881548251370236,-0.293615765967905,0.769051527046896,NA,"4930579G24Rik"
"ENSMUSG00000027820",126.129849341743,0.380916194232226,0.154281459469131,2.4689693469515,0.0135502825173735,0.250991998207466,"Mme"
"ENSMUSG00000027822",371.237689121245,-0.0301195974638006,0.148458418720732,-0.202882380961225,0.839226965850699,0.969157056324311,"Slc33a1"
"ENSMUSG00000027823",608.572670624555,0.0857406724991971,0.130732985929799,0.655845744586898,0.511923380083047,0.85901881592833,"Gmps"
"ENSMUSG00000027824",1.75329149811456,0.0866065034116562,0.987154011729148,0.0877335272739781,0.930088471446814,NA,"Vmn2r1"
"ENSMUSG00000027827",0.819173977211948,0.510354097157111,1.56551347597484,0.325997894613661,0.744425948050652,NA,"Kcnab1"
"ENSMUSG00000027828",895.864040921075,0.143683882662592,0.114349718165093,1.25653027369204,0.208923776930536,0.663407638022877,"Ssr3"
"ENSMUSG00000027829",838.998111783172,-0.0581344208988328,0.147716739692196,-0.393553371269702,0.693910812805716,0.931249442033208,"Ccnl1"
"ENSMUSG00000027831",0,NA,NA,NA,NA,NA,"Veph1"
"ENSMUSG00000027832",4.21137325017277,0.604435086769396,0.914859834035471,0.660686002688758,0.508813702156874,0.857851404110369,"Ptx3"
"ENSMUSG00000027833",5.41431894884367,-0.235183128872047,0.616717381835817,-0.381346684557462,0.702946016796173,0.934679436449707,"Shox2"
"ENSMUSG00000027834",6.65424042585687,-0.00135395778321976,0.595546702211242,-0.00227347037300781,0.998186034652565,0.999735770002308,"Serpini1"
"ENSMUSG00000027835",371.072403594486,0.308618712725839,0.147492951325442,2.09243024803859,0.0364000453223882,0.347703686046724,"Pdcd10"
"ENSMUSG00000027840",0.172138706206645,0.782697843081597,3.14975185020746,0.248495081614141,0.803751375068088,NA,"Wnt2b"
"ENSMUSG00000027843",524.176624825911,0.675271930407458,0.313616281812162,2.15317880342675,0.0313046288704554,0.330505177273259,"Ptpn22"
"ENSMUSG00000027845",219.013103310595,0.417304111107118,0.136697152820124,3.0527637371953,0.002267443832058,0.110535938837027,"Dclre1b"
"ENSMUSG00000027848",122.108261205999,-1.18967886619795,0.494446716793788,-2.40608103116217,0.0161246877050705,0.264139514762275,"Olfml3"
"ENSMUSG00000027849",0,NA,NA,NA,NA,NA,"Syt6"
"ENSMUSG00000027852",193.009673204148,-0.0231399240492641,0.181763666986608,-0.127307753154919,0.89869682410931,0.982504498208971,"Nras"
