"","1415-NEH-1","1415-NEH-10","1415-NEH-11","1415-NEH-2","1415-NEH-3","1415-NEH-4","1415-NEH-5","1415-NEH-6","1415-NEH-7","1415-NEH-8","1415-NEH-9"
"ENSMUSG00000029361",15.5461840388889,3.25631147684026,4.43859797829055,1.09274688287838,5.28769214797959,0,3.08154168120077,1.98191691997979,0.949116849431033,0.938497525387701,4.57250770483493
"ENSMUSG00000029363",80.7735752079123,152.421118447616,129.487261180329,82.8983573864141,80.1721466726648,95.4739573109966,117.600646611403,126.875084790598,99.4325318514437,93.845268924176,103.513833924126
"ENSMUSG00000029364",1330.18029678813,1480.48502407539,1525.45698743338,1832.23183852885,1302.55710644989,1456.97416666201,1448.07029108643,1137.54935856526,1319.391866787,1587.80083073488,1690.92015334573
"ENSMUSG00000029366",51.3551516805348,77.9396527709319,50.2631432568525,46.5377059611865,44.0274778918148,76.0976541880569,64.1177452847524,48.7509741462751,49.961934375502,66.8174599676578,55.9505702876022
"ENSMUSG00000029368",6.94953130152515,6.4437619097684,15.1067685451584,25.0764621949607,28.5681190461844,7.63001019735134,5.12557361063388,0.990436548950753,15.0704618468785,2.82709899746921,0
"ENSMUSG00000029369",2.05467718040164,1.08452448191816,1.77557388781466,3.29350686374169,3.1521541076105,1.28175204334298,0,6.89623784150835,4.68270428537781,2.85210974984938,2.28267203169487
"ENSMUSG00000029370",82.5892416904182,127.635153456471,126.210947052088,244.488306520995,122.861479153367,125.509461079812,167.129974965102,190.03402355801,170.363048633791,144.673219972355,109.293340446315
"ENSMUSG00000029371",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029372",0,0,0,0,3.29515109024867,0,0,0.967446888806262,1.83778777281299,1.84285490790943,2.34449617100668
"ENSMUSG00000029373",14.8862454781021,10.7794098839928,22.1148458380592,7.74221055796263,21.1144674505121,10.292361058431,6.18233039822957,8.70835145912106,11.1015217301781,9.06433129035496,5.86163379845971
"ENSMUSG00000029375",1.97584307163211,0,7.02562962255932,3.31333646953349,9.63734924177914,1.28614452503841,16.701397921182,1.94222102822599,1.85251917920612,4.82025775557539,4.64802203399665
"ENSMUSG00000029376",69.9616763212901,71.1010403931442,58.2096286358421,101.428945164591,90.7410881936596,90.4160224909446,105.621878460731,77.4221667912102,64.2109408369018,90.3228409635694,87.7119906982688
"ENSMUSG00000029377",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029378",1.99764299434961,0,0,2.23018009638529,1.0550647307893,0,0,0.975512538023614,0.925542692872622,0.976031333941043,1.14846520417068
"ENSMUSG00000029379",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029380",223.984686820118,59.417232176914,125.534220180999,124.867399746578,146.093037851097,10.187227790966,87.7844391284548,57.166877475499,37.192639412872,66.8985046318676,52.8776067631106
"ENSMUSG00000029381",2003.96913791492,1917.90878727132,2343.21396496651,2375.92947737453,2427.17624990274,2138.23450417995,2063.51572420739,2101.8144755891,1741.42500705543,2293.14481073393,1975.13597055518
"ENSMUSG00000029384",4.61088079571727,5.32675239356418,4.42881967866254,5.5518415071539,2.19126138639948,7.75114089816194,10.4402569882041,3.87215561246805,5.53997904928437,4.66630672960055,5.87711073759222
"ENSMUSG00000029385",306.256321295934,357.581573141515,651.027366348444,527.288823617767,1236.27855313685,307.593376675253,617.084407922087,692.394475761993,363.495286228451,629.033588336331,267.825236401945
"ENSMUSG00000029386",73.1362313053322,63.6464411266196,75.3312862019072,44.6804424650791,66.5654917613762,84.932077001319,66.4912026346348,72.1499075455679,118.074625404393,85.3670030593998,85.6499298821382
"ENSMUSG00000029387",161.147248530294,202.607988407021,157.272914641051,175.346836844753,182.907026377732,162.961970713399,182.381722282104,160.614609152179,177.295563874432,193.471391669541,188.7093089109
"ENSMUSG00000029388",582.304596148772,690.805083989515,348.185201196601,408.631766913365,325.662940178238,349.631000781494,333.074395783234,345.583331101742,355.31698188867,329.651922203251,746.330339557035
"ENSMUSG00000029389",238.62355598627,296.574840478893,247.125711159342,309.230465962713,241.902650735063,321.955045721821,310.989235967589,333.280222211966,296.551764751942,305.197055913909,319.687200493353
"ENSMUSG00000029390",2000.9064198919,2176.89692979294,2032.05189526121,2497.87042240976,2230.2024020268,2035.24618525165,2942.17295580159,2399.36570959646,2107.27396809424,2294.18316407912,2383.6852799678
"ENSMUSG00000029392",144.723525125524,73.1693968948349,95.427004671988,96.5091591757106,95.0806051097767,86.7531005532052,76.5160934554871,62.7301576183478,71.0701876723795,74.7451707821501,99.8970523658502
"ENSMUSG00000029394",280.139126229439,378.41459448381,290.797748155799,275.7390548661,362.774398559205,407.139877016695,381.555397166634,378.109320102816,390.660500499939,267.240622503041,337.008901426035
"ENSMUSG00000029397",440.224680720134,470.314395806406,443.535204392833,459.342214130883,445.316625246427,397.126195019444,440.784856657165,496.345206093749,476.472906880673,528.632352103338,421.332144019621
"ENSMUSG00000029401",190.205090812237,175.091582211892,222.139897661564,165.821124376413,191.687109121433,229.539449429457,192.972507446365,192.477139584931,221.403977899431,194.863653026676,187.521912401884
"ENSMUSG00000029402",68.4453652592127,78.450586471591,67.5742599398723,81.2689445608814,50.1595934455266,69.5018456171915,66.9243697157616,57.8484943660892,59.6508916931958,48.534155396803,91.9044270427935
"ENSMUSG00000029403",43.8230169285833,49.4939357411819,36.4999992428841,56.161611779558,48.9954414688008,47.6342115824512,57.447047061811,58.7381789089853,49.1768214516041,30.3597610704194,68.3222553478425
"ENSMUSG00000029404",465.996293644486,528.460910683941,519.519065706344,665.094457775952,478.730090053881,770.466530037893,681.994210039229,632.081003433368,472.442987620419,620.61428036317,638.461869753898
"ENSMUSG00000029405",669.471393468287,518.497430792683,576.295470634159,560.857346763687,748.130479768173,580.873579781137,539.055433943887,434.618317871997,695.153390001283,516.819188689029,628.472302331118
"ENSMUSG00000029406",83.1814916527786,116.043850508634,55.4355170295891,89.321076231242,97.2636165565641,109.380077197216,64.6760006560036,76.2085637923298,75.5048773383169,72.8126216663089,75.4385308021378
"ENSMUSG00000029407",2385.66487981263,2653.0093093553,2004.79473793341,2371.42452581919,2048.1903164789,2391.84805182849,2505.39272821035,2381.57023904623,2225.56507943583,1960.93420045705,2613.71210267459
