age,animal.id,MouseID,Sex,Genotype,assay,experiment.date,Cohort,Mass,Diet,start.date,injection.days,diet.time,Mass.Change
79,16957,4092,M,+/+,Body Weight,2017-07-06,1,22.4,Ketogenic Diet,2017-06-21,15,1,-0.3000000000000007
79,16957,4092,M,+/+,Total Fat Mass,2017-07-06,1,3.49,Ketogenic Diet,2017-06-21,15,1,0.4900000000000002
79,16957,4092,M,+/+,Lean Mass,2017-07-06,1,17.04,Ketogenic Diet,2017-06-21,15,1,-1.1300000000000026
79,16958,4093,M,+/+,Body Weight,2017-07-06,1,21.8,Ketogenic Diet,2017-06-21,15,1,-0.5999999999999979
79,16958,4093,M,+/+,Total Fat Mass,2017-07-06,1,3.78,Ketogenic Diet,2017-06-21,15,1,0.7199999999999998
79,16958,4093,M,+/+,Lean Mass,2017-07-06,1,16.4,Ketogenic Diet,2017-06-21,15,1,-1.2100000000000009
79,16959,4094,M,+/+,Body Weight,2017-07-06,1,27.5,Control Diet,2017-06-21,15,1,1
79,16959,4094,M,+/+,Total Fat Mass,2017-07-06,1,5.51,Control Diet,2017-06-21,15,1,1.1600000000000001
79,16959,4094,M,+/+,Lean Mass,2017-07-06,1,19.73,Control Diet,2017-06-21,15,1,-0.48999999999999844
79,16960,4095,M,+/+,Body Weight,2017-07-06,1,23.7,Control Diet,2017-06-21,15,1,0.6999999999999993
79,16960,4095,M,+/+,Total Fat Mass,2017-07-06,1,3.48,Control Diet,2017-06-21,15,1,0.6299999999999999
79,16960,4095,M,+/+,Lean Mass,2017-07-06,1,18.27,Control Diet,2017-06-21,15,1,-0.21999999999999886
79,16961,4096,M,+/+,Body Weight,2017-07-06,1,26.4,Control Diet,2017-06-21,15,1,2.599999999999998
79,16961,4096,M,+/+,Total Fat Mass,2017-07-06,1,3.77,Control Diet,2017-06-21,15,1,1.7600000000000002
79,16961,4096,M,+/+,Lean Mass,2017-07-06,1,20.48,Control Diet,2017-06-21,15,1,0.46000000000000085
79,16963,4097,M,+/+,Body Weight,2017-07-06,1,27.6,Control Diet,2017-06-21,15,1,2.200000000000003
79,16963,4097,M,+/+,Total Fat Mass,2017-07-06,1,3.84,Control Diet,2017-06-21,15,1,1.27
79,16963,4097,M,+/+,Lean Mass,2017-07-06,1,21.5,Control Diet,2017-06-21,15,1,0.48999999999999844
79,16964,4098,M,+/+,Body Weight,2017-07-06,1,24.3,Ketogenic Diet,2017-06-21,15,1,-0.09999999999999787
79,16964,4098,M,+/+,Total Fat Mass,2017-07-06,1,4.74,Ketogenic Diet,2017-06-21,15,1,0.71
