"","age","animal.Alive","animal.Background","animal.Cage","animal.Cause_of_Death","animal.Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","id","values","KetogenicDiet","Diet"
"101",71,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4091,101,16956,"A/J","Total Fat Mass","2017-06-28","fed",96675,"4190",TRUE,"Ketogenic Diet"
"102",71,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4091,101,16956,"A/J","Lean Mass","2017-06-28","fed",96707,"20180",TRUE,"Ketogenic Diet"
"103",93,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4091,101,16956,"A/J","Body Weight","2017-07-20","fed",97115,"25800",TRUE,"Ketogenic Diet"
"104",93,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4091,101,16956,"A/J","Total Fat Mass","2017-07-20","fed",97145,"3340",TRUE,"Ketogenic Diet"
"105",93,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4091,101,16956,"A/J","Lean Mass","2017-07-20","fed",97175,"20490",TRUE,"Ketogenic Diet"
"106",97,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4091,101,16956,"A/J","Body Weight","2017-07-24","fed",97266,"26000",TRUE,"Ketogenic Diet"
"107",97,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4091,101,16956,"A/J","Total Fat Mass","2017-07-24","fed",97267,"3400",TRUE,"Ketogenic Diet"
"108",97,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4091,101,16956,"A/J","Lean Mass","2017-07-24","fed",97268,"20500",TRUE,"Ketogenic Diet"
"109",64,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4092,101,16957,"A/J","Body Weight","2017-06-21","fed",96237,"22400",TRUE,"Ketogenic Diet"
"110",64,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4092,101,16957,"A/J","Total Fat Mass","2017-06-21","fed",96269,"3220",TRUE,"Ketogenic Diet"
"111",64,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4092,101,16957,"A/J","Lean Mass","2017-06-21","fed",96301,"17460",TRUE,"Ketogenic Diet"
"112",86,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4092,101,16957,"A/J","Body Weight","2017-07-13","fed",96360,"21800",TRUE,"Ketogenic Diet"
"113",86,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4092,101,16957,"A/J","Total Fat Mass","2017-07-13","fed",96403,"3020",TRUE,"Ketogenic Diet"
"114",86,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4092,101,16957,"A/J","Lean Mass","2017-07-13","fed",96438,"17200",TRUE,"Ketogenic Diet"
"115",79,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4092,101,16957,"A/J","Body Weight","2017-07-06","fed",96484,"22400",TRUE,"Ketogenic Diet"
"116",79,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4092,101,16957,"A/J","Total Fat Mass","2017-07-06","fed",96516,"3490",TRUE,"Ketogenic Diet"
"117",79,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4092,101,16957,"A/J","Lean Mass","2017-07-06","fed",96550,"17040",TRUE,"Ketogenic Diet"
"118",71,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4092,101,16957,"A/J","Body Weight","2017-06-28","fed",96642,"22700",TRUE,"Ketogenic Diet"
"119",71,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4092,101,16957,"A/J","Total Fat Mass","2017-06-28","fed",96674,"3000",TRUE,"Ketogenic Diet"
"120",71,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4092,101,16957,"A/J","Lean Mass","2017-06-28","fed",96706,"18170",TRUE,"Ketogenic Diet"
"121",93,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4092,101,16957,"A/J","Body Weight","2017-07-20","fed",97118,"22400",TRUE,"Ketogenic Diet"
"122",93,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4092,101,16957,"A/J","Total Fat Mass","2017-07-20","fed",97148,"2690",TRUE,"Ketogenic Diet"
"123",93,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4092,101,16957,"A/J","Lean Mass","2017-07-20","fed",97178,"18050",TRUE,"Ketogenic Diet"
"124",97,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4092,101,16957,"A/J","Body Weight","2017-07-24","fed",97206,"21600",TRUE,"Ketogenic Diet"
"125",97,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4092,101,16957,"A/J","Total Fat Mass","2017-07-24","fed",97235,"2130",TRUE,"Ketogenic Diet"
"126",97,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4092,101,16957,"A/J","Lean Mass","2017-07-24","fed",97264,"17880",TRUE,"Ketogenic Diet"
"127",64,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4093,101,16958,"A/J","Body Weight","2017-06-21","fed",96239,"21400",TRUE,"Ketogenic Diet"
"128",64,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4093,101,16958,"A/J","Total Fat Mass","2017-06-21","fed",96271,"3040",TRUE,"Ketogenic Diet"
"129",64,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4093,101,16958,"A/J","Lean Mass","2017-06-21","fed",96303,"16760",TRUE,"Ketogenic Diet"
"130",86,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4093,101,16958,"A/J","Body Weight","2017-07-13","fed",96357,"21200",TRUE,"Ketogenic Diet"
"131",86,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4093,101,16958,"A/J","Total Fat Mass","2017-07-13","fed",96401,"3250",TRUE,"Ketogenic Diet"
"132",86,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4093,101,16958,"A/J","Lean Mass","2017-07-13","fed",96436,"16230",TRUE,"Ketogenic Diet"
"133",79,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4093,101,16958,"A/J","Body Weight","2017-07-06","fed",96483,"21800",TRUE,"Ketogenic Diet"
"134",79,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4093,101,16958,"A/J","Total Fat Mass","2017-07-06","fed",96515,"3780",TRUE,"Ketogenic Diet"
"135",79,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4093,101,16958,"A/J","Lean Mass","2017-07-06","fed",96549,"16400",TRUE,"Ketogenic Diet"
"136",71,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4093,101,16958,"A/J","Body Weight","2017-06-28","fed",96645,"22400",TRUE,"Ketogenic Diet"
"137",71,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4093,101,16958,"A/J","Total Fat Mass","2017-06-28","fed",96677,"3060",TRUE,"Ketogenic Diet"
"138",71,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4093,101,16958,"A/J","Lean Mass","2017-06-28","fed",96709,"17610",TRUE,"Ketogenic Diet"
"139",93,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4093,101,16958,"A/J","Body Weight","2017-07-20","fed",97117,"22100",TRUE,"Ketogenic Diet"
"140",93,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4093,101,16958,"A/J","Total Fat Mass","2017-07-20","fed",97147,"3420",TRUE,"Ketogenic Diet"
"141",93,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4093,101,16958,"A/J","Lean Mass","2017-07-20","fed",97177,"16960",TRUE,"Ketogenic Diet"
"142",97,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4093,101,16958,"A/J","Body Weight","2017-07-24","fed",97207,"22200",TRUE,"Ketogenic Diet"
"143",97,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4093,101,16958,"A/J","Total Fat Mass","2017-07-24","fed",97236,"3500",TRUE,"Ketogenic Diet"
"144",97,FALSE,"Mixed",852003,"Sacrificed","2017-07-28","M","+/+",4093,101,16958,"A/J","Lean Mass","2017-07-24","fed",97265,"17310",TRUE,"Ketogenic Diet"
