age,animal.id,MouseID,Sex,Genotype,values,assay,experiment.date
71,23041,8904,M,+/+,21900,Body Weight,2019-08-21
71,23041,8904,M,+/+,1920,Total Fat Mass,2019-08-21
71,23041,8904,M,+/+,18420,Lean Mass,2019-08-21
78,23041,8904,M,+/+,23500,Body Weight,2019-08-28
78,23041,8904,M,+/+,3420,Total Fat Mass,2019-08-28
78,23041,8904,M,+/+,17970,Lean Mass,2019-08-28
78,23041,8904,M,+/+,23500,Body Weight,2019-08-28
78,23041,8904,M,+/+,"174,213,139,145,150,179,180,202,203",Plasma Glucose,2019-08-28
78,23041,8904,M,+/+,3420,Total Fat Mass,2019-08-28
78,23041,8904,M,+/+,17970,Lean Mass,2019-08-28
85,23041,8904,M,+/+,23700,Body Weight,2019-09-04
85,23041,8904,M,+/+,4070,Total Fat Mass,2019-09-04
85,23041,8904,M,+/+,17840,Lean Mass,2019-09-04
92,23041,8904,M,+/+,24100,Body Weight,2019-09-11
92,23041,8904,M,+/+,4110,Total Fat Mass,2019-09-11
92,23041,8904,M,+/+,18390,Lean Mass,2019-09-11
99,23041,8904,M,+/+,25400,Body Weight,2019-09-18
99,23041,8904,M,+/+,5690,Total Fat Mass,2019-09-18
99,23041,8904,M,+/+,17960,Lean Mass,2019-09-18
106,23041,8904,M,+/+,26300,Body Weight,2019-09-25
106,23041,8904,M,+/+,5010,Total Fat Mass,2019-09-25
106,23041,8904,M,+/+,19870,Lean Mass,2019-09-25
21,23116,8981,F,+/+,9000,Body Weight,2019-07-17
21,23116,8981,F,+/+,850,Total Fat Mass,2019-07-17
21,23116,8981,F,+/+,7390,Lean Mass,2019-07-17
28,23116,8981,F,+/+,13100,Body Weight,2019-07-24
28,23116,8981,F,+/+,930,Total Fat Mass,2019-07-24
28,23116,8981,F,+/+,10910,Lean Mass,2019-07-24
35,23116,8981,F,+/+,15800,Body Weight,2019-07-31
35,23116,8981,F,+/+,1390,Total Fat Mass,2019-07-31
35,23116,8981,F,+/+,13190,Lean Mass,2019-07-31
49,23116,8981,F,+/+,1230,Total Fat Mass,2019-08-14
49,23116,8981,F,+/+,16090,Lean Mass,2019-08-14
49,23116,8981,F,+/+,19400,Body Weight,2019-08-14
42,23116,8981,F,+/+,18100,Body Weight,2019-08-07
42,23116,8981,F,+/+,1490,Total Fat Mass,2019-08-07
42,23116,8981,F,+/+,15020,Lean Mass,2019-08-07
37,23300,9153,M,-/-,18900,Body Weight,2019-08-28
37,23300,9153,M,-/-,1560,Total Fat Mass,2019-08-28
23,23300,9153,M,-/-,590,Total Fat Mass,2019-08-14
23,23300,9153,M,-/-,7740,Lean Mass,2019-08-14
23,23300,9153,M,-/-,9100,Body Weight,2019-08-14
30,23300,9153,M,-/-,14900,Body Weight,2019-08-21
30,23300,9153,M,-/-,1030,Total Fat Mass,2019-08-21
30,23300,9153,M,-/-,12550,Lean Mass,2019-08-21
37,23300,9153,M,-/-,18900,Body Weight,2019-08-28
37,23300,9153,M,-/-,1560,Total Fat Mass,2019-08-28
37,23300,9153,M,-/-,15540,Lean Mass,2019-08-28
37,23300,9153,M,-/-,18900,Body Weight,2019-08-28
37,23300,9153,M,-/-,1560,Total Fat Mass,2019-08-28
37,23300,9153,M,-/-,15540,Lean Mass,2019-08-28
44,23300,9153,M,-/-,19600,Body Weight,2019-09-04
44,23300,9153,M,-/-,1410,Total Fat Mass,2019-09-04
44,23300,9153,M,-/-,16450,Lean Mass,2019-09-04
51,23300,9153,M,-/-,21300,Body Weight,2019-09-11
51,23300,9153,M,-/-,1260,Total Fat Mass,2019-09-11
58,23300,9153,M,-/-,21500,Body Weight,2019-09-18
58,23300,9153,M,-/-,1520,Total Fat Mass,2019-09-18
58,23300,9153,M,-/-,18110,Lean Mass,2019-09-18
72,23300,9153,M,-/-,22900,Body Weight,2019-10-02
72,23300,9153,M,-/-,1640,Total Fat Mass,2019-10-02
72,23300,9153,M,-/-,19590,Lean Mass,2019-10-02
65,23300,9153,M,-/-,22500,Body Weight,2019-09-25
65,23300,9153,M,-/-,740,Total Fat Mass,2019-09-25
65,23300,9153,M,-/-,20750,Lean Mass,2019-09-25
51,23300,9153,M,-/-,17690,Lean Mass,2019-09-11
79,23300,9153,M,-/-,23800,Body Weight,2019-10-09
79,23300,9153,M,-/-,2310,Total Fat Mass,2019-10-09
79,23300,9153,M,-/-,19300,Lean Mass,2019-10-09
79,23300,9153,M,-/-,"196,81,52,46,46,44,46,47,48",Plasma Glucose,2019-10-09
86,23300,9153,M,-/-,25200,Body Weight,2019-10-16
86,23300,9153,M,-/-,2330,Total Fat Mass,2019-10-16
86,23300,9153,M,-/-,20920,Lean Mass,2019-10-16
93,23300,9153,M,-/-,26500,Body Weight,2019-10-23
93,23300,9153,M,-/-,3800,Total Fat Mass,2019-10-23
93,23300,9153,M,-/-,20560,Lean Mass,2019-10-23
100,23300,9153,M,-/-,26800,Body Weight,2019-10-30
100,23300,9153,M,-/-,3940,Total Fat Mass,2019-10-30
100,23300,9153,M,-/-,20720,Lean Mass,2019-10-30
37,23301,9154,M,+/+,12700,Body Weight,2019-08-28
37,23301,9154,M,+/+,930,Total Fat Mass,2019-08-28
23,23301,9154,M,+/+,420,Total Fat Mass,2019-08-14
23,23301,9154,M,+/+,5770,Lean Mass,2019-08-14
23,23301,9154,M,+/+,7100,Body Weight,2019-08-14
