# File Name: 2024-01-150-Bdh.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: Bridgeslab
# Instrument Serial Number: 272530351
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2024-01-15 07:14:21 PM UTC
# Run End Data/Time: 2024-01-15 09:00:56 PM UTC
# Run Duration: 106 minutes 34 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-01-15 11:58:20 PM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-01-15 11:58:47 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"59","C11","FALSE","1744","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5660723869611997","","","29.786843911915305","0.9897411559200401","29.808179981910232","0.019572437880394384","TRUE","0.2933691948703539","TRUE","3","24","82.80122375488281","","",""
"60","C12","FALSE","4090","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.559013028002813","","","28.149430488490843","0.9763579268294881","28.339429736341298","0.16672756148820972","TRUE","0.2933691948703539","TRUE","3","23","82.91354370117188","","",""
"61","C13","FALSE","4088","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5599134932866763","","","27.781107847886396","0.982180670857536","27.725950579604696","0.07006746850899613","TRUE","0.2933691948703539","TRUE","3","21","82.76934814453125","","",""
"62","C14","FALSE","1749","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5511171459107727","","","27.264185966619557","0.9758524196307852","27.243717586565154","0.08267892486823412","TRUE","0.2933691948703539","TRUE","3","21","82.76934814453125","","",""
"63","C15","FALSE","4111","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.552357644215595","","","27.233689093295652","0.9549701023531894","27.306291007988026","0.0782184852044815","TRUE","0.2933691948703539","TRUE","3","20","82.76934814453125","","",""
"64","C16","FALSE","4102","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5562323822558912","","","28.978038349649765","0.9835671862706116","29.097558543785038","0.13403893097657307","TRUE","0.2933691948703539","TRUE","3","23","82.88150024414062","","",""
"65","C17","FALSE","1744","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5596716153835475","","","29.825302427217927","0.9911510624031743","29.808179981910232","0.019572437880394384","TRUE","0.2933691948703539","TRUE","3","23","82.72428894042969","","",""
"66","C18","FALSE","4090","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5553428027089815","","","28.4613234882881","0.9801240675162691","28.339429736341298","0.16672756148820972","TRUE","0.2933691948703539","TRUE","3","22","82.72428894042969","","",""
"67","C19","FALSE",,"Bdh1","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.2933691948703539","TRUE","3","39","89.88844299316406","71.97806549072266","68.17211151123047","86.30636596679688"
"68","C20","FALSE",,"Bdh1","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.2933691948703539","TRUE","3","39","81.60488891601562","77.23924255371094","86.53024291992188","70.52284240722656"
"69","C21","FALSE",,"Bdh1","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.2933691948703539","TRUE","3","39","65.58670043945312","68.49137115478516","76.64678192138672","73.5186767578125"
"70","C22","FALSE",,"Bdh1","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.2933691948703539","TRUE","3","39","91.9521484375","68.82652282714844","86.47796630859375","81.22721862792969"
"71","C23","FALSE",,"Bdh1","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.2933691948703539","TRUE","3","39","80.66863250732422","75.41788482666016","62.79375076293945","67.03903198242188"
"72","C24","FALSE",,"Bdh1","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.2933691948703539","TRUE","3","39","70.83744812011719","86.58969116210938","89.1592025756836","64.69295501708984"
"73","D1","FALSE","4096","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.459634939073718","","","23.000096188185154","0.8400707224728645","22.98208624847369","0.016625960299630576","TRUE","0.2933691948703539","TRUE","3","18","82.78416442871094","","",""
"74","D2","FALSE","1743","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5232884259652753","","","24.993621508521187","0.8892358167670152","25.00112730338907","0.024349222173607504","TRUE","0.2933691948703539","TRUE","3","20","82.44747161865234","","",""
"75","D3","FALSE","1751","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5475732614711757","","","26.83271586761962","0.9818410290187479","26.87522481174666","0.049036752252309725","TRUE","0.2933691948703539","TRUE","3","19","82.55970764160156","","",""
"76","D4","FALSE","4095","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.544180248462364","","","31.741797745270325","0.9783874332709921","31.518878981732655","0.590360387340641","TRUE","0.2933691948703539","TRUE","3","25","82.55970764160156","","",""
"77","D5","FALSE","4116","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.531612921828346","","","27.07576369409599","0.9219648726105998","27.056056676158505","0.03194630332479481","TRUE","0.2933691948703539","TRUE","3","22","82.70277404785156","","",""
"78","D6","FALSE",,"Bdh1","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.2933691948703539","TRUE","3","39","79.44359588623047","66.40687561035156","92.92985534667969","77.19588470458984"
"79","D7","FALSE","4096","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5309713568545131","","","22.978839239152762","0.8880696802063273","22.98208624847369","0.016625960299630576","TRUE","0.2933691948703539","TRUE","3","18","82.70277404785156","","",""
"80","D8","FALSE","1743","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5363172100460456","","","24.98141465367381","0.8948208932771373","25.00112730338907","0.024349222173607504","TRUE","0.2933691948703539","TRUE","3","20","82.70277404785156","","",""
"81","D9","FALSE","1751","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5597274209818854","","","26.86408568377294","0.989109223538251","26.87522481174666","0.049036752252309725","TRUE","0.2933691948703539","TRUE","3","21","82.80122375488281","","",""
"82","D10","FALSE","4095","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5535510981131035","","","30.84951655678519","0.9764936964260962","31.518878981732655","0.590360387340641","TRUE","0.2933691948703539","TRUE","3","25","82.80122375488281","","",""
"83","D11","FALSE","4116","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5310248257411432","","","27.073208562562414","0.9433016901482453","27.056056676158505","0.03194630332479481","TRUE","0.2933691948703539","TRUE","3","22","82.68890380859375","","",""
"84","D12","FALSE",,"Bdh1","UNKNOWN","SYBR","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","TRUE","0.2933691948703539","TRUE","3","39","81.67805480957031","92.01124572753906","63.8195915222168","75.72523498535156"
"85","D13","FALSE","4096","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5355766176525416","","","22.967323318083146","0.8797947353464632","22.98208624847369","0.016625960299630576","TRUE","0.2933691948703539","TRUE","3","18","82.76934814453125","","",""
"86","D14","FALSE","1743","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5351310974218493","","","25.02834574797221","0.8903315369469945","25.00112730338907","0.024349222173607504","TRUE","0.2933691948703539","TRUE","3","20","82.65718078613281","","",""
"87","D15","FALSE","1751","Bdh1","UNKNOWN","SYBR","NFQ-MGB","AMP","1.5602848366677002","","","26.928872883847404","0.9857188195364222","26.87522481174666","0.049036752252309725","TRUE","0.2933691948703539","TRUE","3","22","82.65718078613281","","",""
